 #   E (MEV)       THETA_CM     SIG_EL/SIG_R  SIG_INEL(MB)  SIG_INEL/SIG_R  SIG_QEL/SIG_R
    0.54000E+02    0.18000E+03    0.28619E+00    0.68919E+02    0.63000E+00    0.91620E+00
    0.54100E+02    0.18000E+03    0.28460E+00    0.68402E+02    0.62760E+00    0.91220E+00
    0.54200E+02    0.18000E+03    0.28303E+00    0.67854E+02    0.62487E+00    0.90790E+00
    0.54300E+02    0.18000E+03    0.28145E+00    0.67296E+02    0.62202E+00    0.90347E+00
    0.54400E+02    0.18000E+03    0.27985E+00    0.66746E+02    0.61921E+00    0.89907E+00
    0.54500E+02    0.18000E+03    0.27824E+00    0.66215E+02    0.61655E+00    0.89478E+00
    0.54600E+02    0.18000E+03    0.27659E+00    0.65700E+02    0.61400E+00    0.89059E+00
    0.54700E+02    0.18000E+03    0.27494E+00    0.65184E+02    0.61141E+00    0.88635E+00
    0.54800E+02    0.18000E+03    0.27327E+00    0.64649E+02    0.60861E+00    0.88188E+00
    0.54900E+02    0.18000E+03    0.27161E+00    0.64076E+02    0.60542E+00    0.87703E+00
    0.55000E+02    0.18000E+03    0.26995E+00    0.63462E+02    0.60180E+00    0.87175E+00
    0.55100E+02    0.18000E+03    0.26830E+00    0.62812E+02    0.59781E+00    0.86611E+00
    0.55200E+02    0.18000E+03    0.26664E+00    0.62144E+02    0.59360E+00    0.86024E+00
    0.55300E+02    0.18000E+03    0.26495E+00    0.61476E+02    0.58935E+00    0.85430E+00
    0.55400E+02    0.18000E+03    0.26323E+00    0.60819E+02    0.58516E+00    0.84839E+00
    0.55500E+02    0.18000E+03    0.26147E+00    0.60174E+02    0.58104E+00    0.84251E+00
    0.55600E+02    0.18000E+03    0.25967E+00    0.59529E+02    0.57690E+00    0.83657E+00
    0.55700E+02    0.18000E+03    0.25784E+00    0.58869E+02    0.57255E+00    0.83039E+00
    0.55800E+02    0.18000E+03    0.25599E+00    0.58175E+02    0.56783E+00    0.82383E+00
    0.55900E+02    0.18000E+03    0.25413E+00    0.57441E+02    0.56268E+00    0.81681E+00
    0.56000E+02    0.18000E+03    0.25224E+00    0.56669E+02    0.55711E+00    0.80935E+00
    0.56100E+02    0.18000E+03    0.25032E+00    0.55872E+02    0.55123E+00    0.80156E+00
    0.56200E+02    0.18000E+03    0.24835E+00    0.55066E+02    0.54522E+00    0.79357E+00
    0.56300E+02    0.18000E+03    0.24632E+00    0.54264E+02    0.53919E+00    0.78551E+00
    0.56400E+02    0.18000E+03    0.24421E+00    0.53471E+02    0.53320E+00    0.77741E+00
    0.56500E+02    0.18000E+03    0.24202E+00    0.52680E+02    0.52718E+00    0.76920E+00
